ID,卵或仔稚魚,風場,風場編號,海域,採樣日期,採樣西元年,採樣月,Month,風場編號+採樣年+月份,測站,日期+測站,民國年+測站,Type,科名,科中文名,學名,中文名,數量,濾水量(m^3),標準化豐度(ind./100m^3),Roundup,Egg diameter (mm),Oil globule (mm),Barcode No.,,,
1,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,07,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,1, Muraenidae,鯙科,Gymnothorax minor,小裸胸鯙 ,3,198.4858205,1.51144298,2,4,N/A,M-1,,,
2,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,07,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,2,Ophichthidae,蛇鰻科,Ophichthidae sp.,蛇鰻科sp.,4,198.4858205,2.015257307,3,3.05,N/A,M-2,,,
3,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,07,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,3, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,52,198.4858205,26.19834499,27,1.375,N/A,M-3,,,
4,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,07,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,4, Diodontidae,二齒魨科,Diodon holocanthus,六斑二齒魨 ,1,198.4858205,0.503814327,1,1.75,N/A,M-4,,,
5,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,07,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,5,Unknown,未知科別,unknown,未知物種,1,198.4858205,0.503814327,1,1.1,N/A,M-5,,,
6,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,07,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,6, Centrolophidae,長鯧科,Psenopsis anomala,刺鯧 ,1,198.4858205,0.503814327,1,0.866666667,N/A,M-6,,,
7,魚卵,科技部,MOST-st.2,彰化海域,20170728,2017,07,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,1, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,3,236.2744671,1.269709773,2,1.35,N/A,M-7,,,
8,魚卵,科技部,MOST-st.2,彰化海域,20170728,2017,07,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,2,Unknown,未知科別,unknown,未知物種,2,236.2744671,0.846473182,1,1.325,N/A,N/A,,,
9,魚卵,科技部,MOST-st.2,彰化海域,20170728,2017,07,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,3, Carangidae,鰺科,Scomberoides tol,托爾逆鈎鰺 ,32,236.2744671,13.54357092,14,0.725,0.25,M-8,,,
10,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,1,Ophichthidae,蛇鰻科,Ophichthidae sp.,蛇鰻科sp.,1,170.0489097,0.588066105,1,2.6,N/A,N/A,,,
11,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,2, Trichiuridae,帶魚科,Trichiurus lepturus,白帶魚 ,2,170.0489097,1.17613221,2,1.675,0.325,M-9,,,
12,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,3, Trichiuridae,帶魚科,Trichiurus lepturus,白帶魚 ,22,170.0489097,12.93745432,13,1.675,0.325,M-10,,,
13,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,4, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,13,170.0489097,7.644859368,8,1.375,0.25,M-11,,,
14,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,5, Engraulidae,鯷科,Encrasicholina punctifer,銀灰半稜鯷 ,1,170.0489097,0.588066105,1,1.05,N/A,M-12,,,
15,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,6,Unknown,未知科別,unknown,未知物種,6,170.0489097,3.528396631,4,1,0.175,M-13,,,
16,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,7, Scorpaenidae,鮋科,Apistus carinatus,稜鬚簑鮋 ,2,170.0489097,1.17613221,2,1.05,0.175,M-14,,,
17,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,8, Menidae,眼眶魚科,Mene maculata,眼眶魚 ,17,170.0489097,9.997123789,10,0.925,N/A,M-15,,,
18,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,07,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,9, Scombridae,鯖科,Auxis rochei rochei,圓花鰹 ,24,170.0489097,14.11358653,15,0.875,0.25,M-16,,,
19,魚卵,科技部,MOST-st.4,彰化海域,20170728,2017,07,July,MOST-st.4-2017-July,st.4,20170728-st.4,106-July-st.4,1, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,4,167.3769851,2.389814822,3,1.45,N/A,M-17,,,
20,魚卵,科技部,MOST-st.4,彰化海域,20170728,2017,07,July,MOST-st.4-2017-July,st.4,20170728-st.4,106-July-st.4,2, Clupeidae,鯡科,Sardinella gibbosa,隆背小沙丁魚 ,15,167.3769851,8.961805583,9,1.375,N/A,M-18,,,
21,魚卵,科技部,MOST-st.4,彰化海域,20170728,2017,07,July,MOST-st.4-2017-July,st.4,20170728-st.4,106-July-st.4,3, Scorpaenidae,鮋科,Apistus carinatus,稜鬚簑鮋 ,3,167.3769851,1.792361117,2,1,N/A,N/A,,,
22,魚卵,科技部,MOST-st.4,彰化海域,20170728,2017,07,July,MOST-st.4-2017-July,st.4,20170728-st.4,106-July-st.4,4, Carangidae,鰺科,Scomberoides tol,托爾逆鈎鰺 ,22,167.3769851,13.14398152,14,0.8,0.35,N/A,,,
23,魚卵,科技部,MOST-st.4,彰化海域,20170728,2017,07,July,MOST-st.4-2017-July,st.4,20170728-st.4,106-July-st.4,5, Scombridae,鯖科,Auxis rochei rochei,圓花鰹 ,14,167.3769851,8.364351878,9,0.725,0.125,N/A,,,
24,魚卵,科技部,MOST-st.5,彰化海域,20170728,2017,07,July,MOST-st.5-2017-July,st.5,20170728-st.5,106-July-st.5,1, Sciaenidae,石首魚科,Chrysochir aureus,黃金鰭䱛,16,188.1798259,8.502505473,9,0.8,N/A,M-19,,,
25,魚卵,科技部,MOST-st.5,彰化海域,20170728,2017,07,July,MOST-st.5-2017-July,st.5,20170728-st.5,106-July-st.5,2, Scombridae,鯖科,Auxis rochei rochei,圓花鰹 ,5,188.1798259,2.65703296,3,0.7,0.1,N/A,,,
26,魚卵,科技部,MOST-st.1,彰化海域,20171002,2017,10,Octobor,MOST-st.1-2017-Octobor,st.1,20171002-st.1,106-Octobor-st.1,1, Trichiuridae,帶魚科,Trichiurus japonicus,日本帶魚 ,1,197.7224135,0.505759556,1,1.8,N/A,M-37,,,
